iter	Passed	Remaining
455	974	1162
456	976	1160
457	977	1157
458	979	1153
459	980	1150
460	981	1147
461	982	1144
462	983	1141
463	984	1137
464	985	1134
465	986	1131
466	988	1127
467	992	1127
468	993	1124
469	994	1121
470	996	1118
471	997	1115
472	998	1112
473	999	1109
474	1000	1105
475	1001	1103
476	1003	1099
477	1006	1098
478	1007	1096
479	1009	1093
480	1010	1090
481	1011	1087
482	1012	1083
483	1013	1080
484	1014	1077
485	1015	1074
486	1017	1071
487	1018	1068
488	1021	1067
489	1023	1064
490	1024	1061
491	1025	1058
492	1026	1055
493	1027	1052
494	1028	1049
495	1029	1046
496	1030	1043
497	1032	1040
498	1033	1037
499	1035	1035
500	1037	1033
501	1039	1031
502	1040	1028
503	1042	1025
504	1043	1023
505	1045	1020
506	1046	1018
507	1048	1015
508	1050	1013
509	1053	1012
510	1054	1009
511	1058	1009
512	1061	1007
513	1063	1005
514	1070	1007
515	1072	1005
516	1073	1003
517	1076	1001
518	1077	999
519	1080	996
520	1082	995
521	1084	992
522	1085	990
523	1087	988
524	1089	985
525	1092	984
526	1094	981
527	1099	983
528	1101	980
529	1102	977
530	1104	975
531	1105	972
532	1107	970
533	1108	967
534	1113	967
535	1115	965
536	1116	962
537	1118	960
538	1120	957
539	1121	955
540	1123	953
541	1130	955
542	1132	952
543	1134	951
544	1137	949
545	1138	946
546	1144	947
547	1147	946
548	1148	943
549	1152	943
550	1155	941
551	1156	938
552	1159	937
553	1161	935
554	1164	933
555	1165	930
556	1167	928
557	1168	925
558	1171	923
559	1176	924
560	1179	923
561	1181	921
562	1183	918
563	1185	916
564	1190	916
565	1192	914
566	1194	911
567	1197	910
568	1199	908
569	1200	905
570	1205	905
571	1208	904
572	1209	901
573	1211	898
574	1212	896
575	1214	893
576	1215	891
577	1216	888
578	1223	889
579	1224	886
580	1225	884
581	1227	881
582	1228	878
583	1229	875
584	1230	873
585	1231	870
586	1233	867
587	1236	866
588	1238	864
589	1239	861
590	1240	858
591	1242	856
592	1244	853
593	1245	851
594	1247	848
595	1249	847
596	1252	845
597	1253	842
598	1255	840
599	1256	837
600	1258	835
601	1259	832
602	1260	829
603	1261	827
604	1263	825
605	1266	823
606	1267	820
607	1268	818
608	1269	815
609	1271	812
610	1272	810
611	1273	807
612	1274	804
613	1275	802
614	1277	799
615	1279	797
616	1282	795
617	1283	793
618	1284	790
619	1286	788
620	1287	785
621	1288	782
622	1289	780
623	1290	777
624	1291	775
625	1293	772
626	1295	770
627	1297	768
628	1298	766
629	1300	763
630	1302	761
631	1303	759
632	1304	756
633	1306	753
634	1307	751
635	1309	749
636	1312	747
637	1314	745
638	1316	743
639	1317	741
640	1319	738
641	1321	736
642	1322	734
643	1326	733
644	1327	730
645	1329	728
646	1330	725
647	1331	723
648	1333	721
649	1334	718
650	1335	715
651	1336	713
652	1339	711
653	1341	709
654	1342	707
655	1343	704
656	1344	702
657	1345	699
658	1347	697
659	1348	694
660	1350	692
661	1351	689
662	1352	687
663	1355	686
664	1357	683
665	1359	681
666	1360	679
667	1361	676
668	1363	674
669	1364	671
670	1365	669
671	1366	667
672	1367	664
673	1370	663
674	1373	661
675	1374	658
676	1375	656
677	1376	653
678	1378	651
679	1379	649
680	1380	646
681	1381	644
682	1382	641
683	1385	640
684	1388	638
685	1389	635
686	1390	633
687	1391	631
688	1392	628
689	1393	626
690	1395	623
691	1396	621
692	1397	619
693	1400	617
694	1403	615
695	1404	613
696	1405	611
697	1406	608
698	1407	606
699	1409	603
700	1410	601
701	1411	599
702	1412	596
703	1416	595
704	1418	593
705	1419	591
706	1420	588
707	1422	586
708	1423	584
709	1424	581
710	1425	579
711	1427	577
712	1428	575
713	1432	573
714	1434	571
715	1435	569
716	1436	566
717	1437	564
718	1438	562
719	1440	560
720	1441	557
721	1442	555
722	1443	552
723	1445	551
724	1448	549
725	1449	547
726	1450	544
727	1451	542
728	1453	540
729	1454	537
730	1455	535
731	1456	533
732	1458	531
733	1459	528
734	1463	527
735	1464	525
736	1466	523
737	1467	520
738	1468	518
739	1469	516
740	1471	514
741	1472	511
742	1473	509
743	1474	507
744	1476	505
745	1478	503
746	1479	501
747	1480	498
748	1482	496
749	1483	494
750	1484	492
751	1485	490
752	1487	487
753	1488	485
754	1489	483
755	1492	481
756	1493	479
757	1495	477
758	1496	475
759	1497	472
760	1498	470
761	1499	468
762	1501	466
763	1502	464
764	1503	461
765	1504	459
766	1508	458
767	1509	456
768	1511	453
769	1512	451
770	1513	449
771	1514	447
772	1515	445
773	1516	442
774	1518	440
775	1519	438
776	1521	436
777	1523	434
778	1524	432
779	1525	430
780	1527	428
781	1528	426
782	1529	423
783	1530	421
784	1531	419
785	1532	417
786	1533	415
787	1534	412
788	1536	411
789	1539	409
790	1540	407
791	1541	404
792	1543	402
793	1544	400
794	1545	398
795	1546	396
796	1547	394
797	1549	392
798	1550	390
799	1552	388
800	1554	386
801	1556	384
802	1557	382
803	1558	379
804	1559	377
805	1560	375
806	1562	373
807	1563	371
808	1564	369
809	1567	367
810	1569	365
811	1570	363
812	1571	361
813	1573	359
814	1574	357
815	1575	355
816	1576	353
817	1577	351
818	1579	348
819	1580	346
820	1582	345
821	1584	343
822	1585	341
823	1587	338
824	1588	336
825	1589	334
826	1590	332
827	1592	330
828	1593	328
829	1594	326
830	1595	324
831	1600	323
832	1601	321
833	1603	319
834	1604	317
835	1606	315
836	1607	313
837	1608	310
838	1609	308
839	1611	306
840	1613	305
841	1615	303
842	1616	301
843	1618	299
844	1620	297
845	1621	295
846	1623	293
847	1624	291
848	1625	289
849	1630	287
850	1631	285
851	1635	284
852	1636	282
853	1637	280
854	1639	277
855	1640	275
856	1641	273
857	1644	272
858	1646	270
859	1647	268
860	1649	266
861	1650	264
862	1651	262
863	1652	260
864	1653	258
865	1654	256
866	1655	253
867	1657	252
868	1659	250
869	1661	248
870	1663	246
871	1664	244
872	1665	242
873	1666	240
874	1667	238
875	1668	236
876	1669	234
877	1671	232
878	1672	230
879	1674	228
880	1675	226
881	1677	224
882	1678	222
883	1679	220
884	1680	218
885	1681	216
886	1683	214
887	1684	212
888	1685	210
889	1686	208
890	1688	206
891	1689	204
892	1691	202
893	1692	200
894	1693	198
895	1694	196
896	1695	194
897	1696	192
898	1697	190
899	1698	188
900	1700	186
901	1701	184
902	1702	182
903	1704	180
904	1705	179
905	1706	177
906	1707	175
907	1709	173
908	1710	171
909	1711	169
910	1712	167
911	1713	165
912	1714	163
913	1715	161
914	1716	159
915	1717	157
916	1720	155
917	1721	153
918	1723	151
919	1724	149
920	1725	147
921	1726	146
922	1727	144
923	1728	142
924	1729	140
925	1730	138
926	1731	136
927	1732	134
928	1733	132
929	1735	130
930	1736	128
931	1737	126
932	1738	124
933	1740	122
934	1741	121
935	1742	119
936	1743	117
937	1744	115
938	1745	113
939	1746	111
940	1747	109
941	1748	107
942	1750	105
943	1752	103
944	1753	102
945	1754	100
946	1755	98
947	1756	96
948	1757	94
949	1758	92
950	1759	90
951	1760	88
952	1762	86
953	1763	85
954	1764	83
955	1766	81
956	1768	79
957	1769	77
958	1770	75
959	1771	73
960	1772	71
961	1773	70
962	1774	68
963	1775	66
964	1776	64
965	1777	62
966	1778	60
967	1780	58
968	1782	57
969	1783	55
970	1784	53
971	1785	51
972	1787	49
973	1788	47
974	1789	45
975	1790	44
976	1791	42
977	1792	40
978	1793	38
979	1795	36
980	1796	34
981	1797	32
982	1798	31
983	1799	29
984	1800	27
985	1801	25
986	1802	23
987	1804	21
988	1805	20
989	1806	18
990	1807	16
991	1808	14
992	1809	12
993	1811	10
994	1812	9
995	1813	7
996	1814	5
997	1815	3
998	1816	1
999	1817	0
